curve_idx,target,amp_score,cq,cycle_no,rn,drn,Fn,pcr_plate,sample_type,igi_call
35011,MS2,2.604813462390432,20.677254031583345,6,221283.890625,36.9214285714416,221283.89,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,7,221715.671875,392.856696428572,221715.67,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,8,222324.859375,926.1982142857024,222324.86,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,9,222221.453125,746.9459821428618,222221.45,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,10,221614.9375,64.58437499999224,221614.94,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,11,221084.9375,-541.2616071428483,221084.94,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,12,221007.171875,-694.873214285718,221007.17,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,13,221453.421875,-324.4691964285584,221453.42,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,14,221483.703125,-370.033928571428,221483.7,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,15,221683.78125,-245.80178571429764,221683.78,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,16,222280.84375,275.41473214286185,222280.84,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,17,222505.40625,424.1312499999922,222505.4,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,18,223006.609375,849.4883928571517,223006.61,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,19,223712.8125,1479.845535714282,223712.81,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,20,224557.515625,2248.702678571441,224557.52,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,21,226406.390625,4021.731696428572,226406.39,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,22,229773.359375,7312.854464285702,229773.36,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,23,235943.6875,13407.336607142865,235943.69,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,24,246634.90625,24022.70937499999,246634.9,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,25,263558.5,40870.45714285715,263558.5,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,26,288697.5625,65933.67366071428,288697.56,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,27,323311.3125,100471.57767857144,323311.3,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,28,364299.53125,141383.9504464286,364299.53,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,29,407652.03125,184660.6044642857,407652.03,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,30,450739.3125,227672.03973214288,450739.3,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,31,489935.96875,266792.85,489935.97,AC00DBJZ,Clinical Sample,Positive
