"","well_position","cycle_no","target","rn","drn","amp_status","amp_score","cq","auto_threshold","threshold","baseline_start","baseline_end","file","dilution_level","covid_variant","Fn"
"135","A1",45,"N gene",1005851.813,876057.8037,"Amp",2.771321017,"17.36853524",FALSE,14000,3,11,"dilution",100000,"Delta",1005851.8
"136","A3",1,"RnaseP",12254.12109,-21.09879938,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12254.121
"137","A3",2,"RnaseP",12388.44727,66.75103702,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12388.447
"138","A3",3,"RnaseP",12435.19629,67.02372497,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12435.196
"139","A3",4,"RnaseP",12551.31934,136.6704364,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12551.319
"140","A3",5,"RnaseP",12628.85645,167.7312103,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12628.856
"141","A3",6,"RnaseP",12591.58887,83.98729666,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12591.589
"142","A3",7,"RnaseP",12497.05371,-57.02419508,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12497.054
"143","A3",8,"RnaseP",12456.5918,-143.9624446,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12456.592
"144","A3",9,"RnaseP",12557.61328,-89.41729573,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12557.613
"145","A3",10,"RnaseP",12602.38965,-91.11726402,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12602.39
"146","A3",11,"RnaseP",12693.66406,-46.31918544,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12693.664
"147","A3",12,"RnaseP",12727.49219,-58.96739592,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12727.492
"148","A3",13,"RnaseP",12704.75488,-128.1810361,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12704.755
"149","A3",14,"RnaseP",12790.65723,-88.75502782,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12790.657
"150","A3",15,"RnaseP",12893.21387,-32.67472267,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",12893.214
"151","A3",16,"RnaseP",13010.25879,37.89386372,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13010.259
"152","A3",17,"RnaseP",13042.02832,23.18705949,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13042.028
"153","A3",18,"RnaseP",13022.39258,-42.92501818,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13022.393
"154","A3",19,"RnaseP",13069.66016,-42.13377553,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13069.66
"155","A3",20,"RnaseP",13248.44043,90.17016242,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13248.44
"156","A3",21,"RnaseP",13347.80176,143.0551551,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13347.802
"157","A3",22,"RnaseP",13343.88965,92.66671021,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13343.89
"158","A3",23,"RnaseP",13276.79102,-20.90825808,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13276.791
"159","A3",24,"RnaseP",13361.8877,17.71208612,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13361.888
"160","A3",25,"RnaseP",13472.40137,81.74942252,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13472.401
"161","A3",26,"RnaseP",13658.42578,221.2975011,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13658.426
"162","A3",27,"RnaseP",13793.56445,309.9598375,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13793.564
"163","A3",28,"RnaseP",13850.68359,320.6026426,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",13850.684
"164","A3",29,"RnaseP",14309.23438,732.6770884,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",14309.234
"165","A3",30,"RnaseP",14410.18848,787.1548545,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",14410.188
"166","A3",31,"RnaseP",14665.90234,996.3923862,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",14665.902
"167","A3",32,"RnaseP",14960.27734,1244.291051,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",14960.277
"168","A3",33,"RnaseP",15119.07129,1356.608661,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15119.071
"169","A3",34,"RnaseP",15332.96582,1524.026856,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15332.966
"170","A3",35,"RnaseP",15343.5166,1488.101302,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15343.517
"171","A3",36,"RnaseP",15448.13184,1546.240201,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15448.132
"172","A3",37,"RnaseP",15690.2207,1741.852733,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15690.221
"173","A3",38,"RnaseP",15743.76465,1748.920343,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15743.765
"174","A3",39,"RnaseP",15757.44824,1716.127601,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",15757.448
"175","A3",40,"RnaseP",16010.00879,1922.211812,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",16010.009
"176","A3",41,"RnaseP",16096.73242,1962.45911,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",16096.732
"177","A3",42,"RnaseP",16274.82324,2094.073594,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",16274.823
"178","A3",43,"RnaseP",16481.35352,2254.127532,"No Amp",1.438040385,"Undetermined",FALSE,20000,3,23,"dilution",10000,"Delta",16481.354
