Well,Well Position,Cycle Number,ATTO 647,VIC,FAM
10,A10,9,-1034.0149,-3.7494252,-11933.161
10,A10,10,-1004.9198,209.94122,-11865.242
10,A10,11,-1050.8502,221.31912,-11897.677
10,A10,12,-1041.8689,220.73117,-11774.914
10,A10,13,-885.1979,190.52676,-11767.673
10,A10,14,-869.43555,56.740814,-11773.866
10,A10,15,-872.4158,49.82347,-11549.215
10,A10,16,-799.7909,230.4673,-11583.448
10,A10,17,-679.6601,251.35564,-11705.211
10,A10,18,-839.95795,253.22417,-11748.372
10,A10,19,-904.9253,106.523865,-11654.352
10,A10,20,-819.96106,95.40474,-11678.674
10,A10,21,-762.59015,248.80515,-11583.099
10,A10,22,-810.05597,42.985455,-11576.112
10,A10,23,-876.2045,-14.445313,-11425.211
10,A10,24,-890.8742,72.097206,-11313.215
10,A10,25,-763.98145,76.49669,-11392.928
10,A10,26,-808.9679,59.340527,-11435.5625
10,A10,27,-1071.7582,53.44347,-11435.801
10,A10,28,-1085.6315,131.88873,-11411.679
10,A10,29,-859.4056,147.59279,-11440.418
10,A10,30,-747.88855,239.09798,-11349.027
10,A10,31,-760.50366,182.99367,-11389.014
10,A10,32,-918.97235,136.34586,-11309.068
10,A10,33,-1016.21326,187.83975,-11274.962
10,A10,34,-1049.6686,265.64148,-11170.258
10,A10,35,-1035.1075,253.37524,-11055.125
10,A10,36,-1016.35175,328.3463,-10860.811
10,A10,37,-1023.6636,433.3605,-10872.012
10,A10,38,-1000.3059,407.0555,-10658.416
10,A10,39,-792.2185,339.29095,-10360.937
10,A10,40,-712.98096,290.74487,-10437.316
10,A10,41,-833.842,335.98578,-10580.117
10,A10,42,-897.6651,359.23798,-10649.884
10,A10,43,-863.0626,338.34103,-10408.324
10,A10,44,-809.1643,415.5307,-10367.248
10,A10,45,-841.47955,382.8218,-10497.5625
11,A11,1,17590.633,339735.06,133423.28
11,A11,2,17597.781,339604.2,133499.23
11,A11,3,17705.951,339496.4,133575.5
11,A11,4,17805.518,339568.7,133857.08
11,A11,5,17819.322,339516.72,133913.8
11,A11,6,17799.898,339081.75,133954.72
11,A11,7,17850.229,338861.94,133945.62
11,A11,8,17816.566,338838.6,134038.02
11,A11,9,17760.674,338964.34,134657.08
11,A11,10,17775.115,339288.5,134791.88
11,A11,11,18007.57,339128.88,134737.4
11,A11,12,18123.633,339103.28,134848.77
11,A11,13,18123.146,339457.72,134705.72
11,A11,14,18168.404,339804.78,134656.9
11,A11,15,18211.924,339857.12,135005.38
11,A11,16,18254.38,340129.56,135198.4
11,A11,17,18300.137,340351.47,135265.67
11,A11,18,18275.758,340341.06,135332.89
11,A11,19,18388,340410.47,135331.73
11,A11,20,18459.87,340595.94,135602.7
11,A11,21,18509.469,340544.28,135581.66
11,A11,22,18556.152,340539.88,135508.89
11,A11,23,18615.023,340571.9,135820.9
11,A11,24,18610.787,340815,136155.64
11,A11,25,18810.514,340976.9,136193.12
11,A11,26,18782.049,341189.5,136691.56
11,A11,27,18767.719,341626.47,137919.64
11,A11,28,18777.84,342194.2,139311.03
11,A11,29,18933.139,343143.7,142219
11,A11,30,19108.193,345049.38,147962.66
11,A11,31,19030.877,348912.47,158917.31
11,A11,32,18941.902,356035.9,179583.06
11,A11,33,18997.64,369990.12,215657.75
11,A11,34,19166.32,392754.56,270653.44
11,A11,35,19218.697,421952.1,337272.4
11,A11,36,19396.33,451246.12,408613.8
11,A11,37,19425.703,473808.53,476972.2
11,A11,38,19491.855,489934.16,537594.06
11,A11,39,19506.836,502886.34,590668.25
11,A11,40,19625.604,514640.47,636114.8
11,A11,41,19710.883,523513.38,676653.2
11,A11,42,19660.105,530491.2,711616.1
11,A11,43,19865.408,537197.7,742469.1
11,A11,44,20065.47,542855.25,770242.44
11,A11,45,20002.178,548956.2,790955.2
12,A12,1,-451.54034,-1131.9958,-9422.464
12,A12,2,-507.36536,-1230.6926,-9403.127
12,A12,3,-562.7316,-1275.6168,-9160.51
12,A12,4,-494.58878,-1176.986,-9018.325
12,A12,5,-265.23444,-1064.7493,-9067.967
12,A12,6,-432.09695,-943.7087,-9208.123
12,A12,7,-513.69055,-983.4019,-9180.017
12,A12,8,-464.94214,-1075.1156,-8822.772
12,A12,9,-397.3187,-1133.0706,-8753.98
12,A12,10,-428.19638,-1164.5183,-8667.18
12,A12,11,-512.441,-1233.6409,-8622.652
12,A12,12,-665.89606,-1225.134,-8625.001
12,A12,13,-669.8121,-1039.2743,-8679.953
12,A12,14,-532.48444,-994.5834,-8632.799
12,A12,15,-491.39676,-1012.91736,-8573.48
12,A12,16,-468.01407,-1046.886,-8463.253
12,A12,17,-467.86316,-1091.4395,-8504.995
12,A12,18,-404.21182,-1120.4972,-8470.29
12,A12,19,-333.41803,-1069.444,-8364.853
12,A12,20,-372.74945,-1092.7489,-8288.765
12,A12,21,-458.77258,-1136.8873,-8238.222
12,A12,22,-599.6601,-1106.1707,-8322.543
12,A12,23,-620.4713,-1001.1425,-8429.479
12,A12,24,-515.4248,-1086.7642,-8501.624
12,A12,25,-480.30008,-1119.3729,-8383.405
12,A12,26,-339.83047,-1016.95135,-8230.055
12,A12,27,-412.9647,-1061.6,-8315.451
12,A12,28,-609.61426,-1100.4293,-8519.785
12,A12,29,-646.9458,-1048.6284,-8538.979
12,A12,30,-571.1933,-1091.7535,-8162.048
12,A12,31,-545.70325,-1198.5447,-8040.98
12,A12,32,-428.99622,-1325.009,-7956.6416
12,A12,33,-424.49658,-1312.4921,-7942.5625
12,A12,34,-373.93552,-1152.3112,-8011.08
12,A12,35,-350.98608,-1108.1316,-7927.667
12,A12,36,-376.1522,-950.0961,-7862.2476
12,A12,37,-349.1043,-902.1065,-7703.7886
12,A12,38,-282.54614,-976.4264,-7602.1206
12,A12,39,-371.71088,-983.12585,-7409.1997
12,A12,40,-440.0424,-789.67004,-7330.6157
